price,dispaly_res_type,os,processor_brand,connectivity_feature,battery,ram,internal_storgar,mobile_brand,dispaly_size_in_inches,back_camera,front_camera
24999,Full HD+,Android 10,Snapdragon,5,5000,6,128,MOTOROLA,6.67,48.0,16.0
8990,HD+,Android 11,other,4,5000,4,64,Motorola,6.5,48.0,8.0
26999,Full HD+,Android 12,Snapdragon,5,4020,8,128,Motorola,6.55,50.0,32.0
12999,Full HD+,Android 11,Snapdragon,4,6000,6,128,Motorola,6.78,64.0,16.0
9998,HD+,Android 11,Snapdragon,4,5000,4,64,Motorola,6.51,64.0,13.0
7490,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,16.0,8.0
149999,other,Android 10,Snapdragon,4,2510,6,128,Motorola,6.2,16.0,5.0
20999,Full HD+,Android 11,Snapdragon,5,4000,8,128,Motorola,6.7,108.0,32.0
9999,HD,other,Mediatek,4,5000,3,32,MOTOROLA,5.5,13.0,5.0
9999,HD,other,Mediatek,4,5000,3,32,MOTOROLA,5.5,13.0,5.0
9999,HD,other,Mediatek,4,5000,3,32,MOTOROLA,5.5,13.0,5.0
16999,Full HD+ AMOLED Display,Android 11,Snapdragon,5,5000,6,128,MOTOROLA,6.4,50.0,16.0
34999,Full HD+ AMOLED Display,Android 12,Snapdragon,5,4800,8,128,Motorola,6.417,50.0,60.0
12999,Full HD+,Android 11,Snapdragon,4,6000,6,128,Motorola,6.78,64.0,16.0
9999,HD+,Android 11,Snapdragon,4,6000,4,64,Motorola,6.51,48.0,8.0
9999,HD+,Android 11,Snapdragon,4,6000,4,64,Motorola,6.51,48.0,8.0
15999,Full HD+,other,Snapdragon,4,4000,4,64,MOTOROLA,6.3,48.0,25.0
34999,Full HD+,Android 12,Snapdragon,5,4400,8,128,Motorola,6.55,50.0,32.0
13999,Full HD+,Android 12,Snapdragon,4,5000,6,128,Motorola,6.6,50.0,16.0
24999,Full HD+,Android 10,Snapdragon,5,5000,6,128,MOTOROLA,6.67,48.0,16.0
11999,Full HD+,Android 11,Mediatek,4,5000,4,64,Motorola,6.4,50.0,13.0
20999,Full HD+,Android 11,Mediatek,5,5000,8,128,Motorola,6.67,108.0,32.0
20999,Full HD+,Android 11,Mediatek,5,5000,8,128,Motorola,6.693,108.0,32.0
10990,Full HD+,Android 11,Mediatek,4,5000,4,64,Motorola,6.4,50.0,13.0
14999,Full HD+,Android 11,Snapdragon,5,5000,4,64,Motorola,6.8,50.0,13.0
